OID_,NAME_2,ZONE_CODE,COUNT,AREA,SUM
74,Highland,74,56735.000000000000000,3.939930524036112,563839.090485513675958
75,Inverclyde,75,338.000000000000000,0.023472222034444,163084.897663414536510
76,IsleofAnglesey,76,1399.000000000000000,0.097152777000556,142032.285599112481577
77,IsleofWight,77,702.000000000000000,0.048749999610000,270646.835119963041507
78,IslesofScilly,78,40.000000000000000,0.002777777755556,3169.918506145477295
79,Kent,79,6588.000000000000000,0.457499996340000,2981372.233588925097138
80,"KingstonuponHull,Cityof",80,140.000000000000000,0.009722222144444,519456.319540023920126
81,Kirklees,81,803.000000000000000,0.055763888442778,897251.264612019644119
82,Knowsley,82,167.000000000000000,0.011597222129444,285741.834212303103413
83,Lancashire,83,5671.000000000000000,0.393819441293889,2356673.232671110425144
84,Leeds,84,1077.000000000000000,0.074791666068333,1558854.209505082340911
85,Leicester,85,136.000000000000000,0.009444444368889,709919.278594970819540
86,Leicestershire,86,3990.000000000000000,0.277083331116667,1351425.090110782068223
87,Lincolnshire,87,11451.000000000000000,0.795208326971667,1512177.482205386739224
88,LisburnandCastlereagh,88,1011.000000000000000,0.070208332771667,304034.499002933327574
89,Liverpool,89,218.000000000000000,0.015138888767778,949196.385472774039954
90,Luton,90,80.000000000000000,0.005555555511111,401108.022327423037495
91,Manchester,91,221.000000000000000,0.015347222099444,1199302.473866701126099
92,Medway,92,371.000000000000000,0.025763888682778,510259.032918214972597
93,MerthyrTydfil,93,209.000000000000000,0.014513888772778,114271.207581758455490
94,MidandEastAntrim,94,2111.000000000000000,0.146597221049444,290349.176484167575836
95,Middlesbrough,95,110.000000000000000,0.007638888827778,278908.876798152923584
96,Midlothian,96,736.000000000000000,0.051111110702222,175388.194744691572851
97,MidUlster,97,3659.000000000000000,0.254097220189444,318946.029323876369745
98,MiltonKeynes,98,586.000000000000000,0.040694444118889,558540.582304239273071
99,Monmouthshire,99,1599.000000000000000,0.111041665778333,183626.993540763796773
100,Moray,100,4842.000000000000000,0.336249997310000,215904.032032750576036
101,Nah-EileananSiar,101,6924.000000000000000,0.480833329486667,63308.077944773249328
102,NeathPortTalbot,102,825.000000000000000,0.057291666208333,265561.607836008188315
103,NewcastleuponTyne,103,237.000000000000000,0.016458333201667,615224.922856628545560
104,Newport,104,358.000000000000000,0.024861110912222,288371.749694108730182
105,"Newry,MourneandDown",105,3216.000000000000000,0.223333331546667,374945.124758005316835
