OID_,NAME_2,ZONE_CODE,COUNT,AREA,MEAN
119,OrkneyIslands,119,2342.000000000000000,0.001626388875878,0.180040045856100
120,Oxfordshire,120,51702.000000000000000,0.035904166379433,0.201442152312460
121,Pembrokeshire,121,15260.000000000000000,0.010597222137444,0.164358709937131
122,PerthandKinross,122,14386.000000000000000,0.009990277697856,0.183710735000487
123,Peterborough,123,12203.000000000000000,0.008474305487761,0.339206384393682
124,Plymouth,124,10674.000000000000000,0.007412499940700,0.528337615840213
125,Portsmouth,125,6908.000000000000000,0.004797222183844,0.565761788913491
126,Powys,126,19535.000000000000000,0.013565972113694,0.120783737063090
127,Reading,127,6199.000000000000000,0.004304861076672,0.402199579482826
128,RedcarandCleveland,128,10884.000000000000000,0.007558333272867,0.215664325485843
129,Renfrewshire,129,11792.000000000000000,0.008188888823378,0.246488260913648
130,RhonddaCynonTaf,130,13386.000000000000000,0.009295833258967,0.342664739073961
131,Rochdale,131,10707.000000000000000,0.007435416607183,0.291271354565423
132,Rotherham,132,20889.000000000000000,0.014506249883950,0.210729507414990
133,Rutland,133,6369.000000000000000,0.004422916631283,0.100070465426026
134,Salford,134,11932.000000000000000,0.008286111044822,0.301764392323128
135,Sandwell,135,14172.000000000000000,0.009841666587933,0.360410019276164
136,ScottishBorders,136,12643.000000000000000,0.008779861040872,0.157345170829597
137,Sefton,137,14920.000000000000000,0.010361111028222,0.313092867263102
138,Sheffield,138,29058.000000000000000,0.020179166505233,0.335477748087013
139,ShetlandIslands,139,29843.000000000000000,0.020724305389761,0.015226114936563
140,Shropshire,140,42160.000000000000000,0.029277777543556,0.139509265623048
141,Slough,141,5034.000000000000000,0.003495833305367,0.474696964230993
142,Solihull,142,13487.000000000000000,0.009365972147294,0.245027013416682
143,Somerset,143,42867.000000000000000,0.029768749761850,0.278618418295699
144,Southampton,144,8192.000000000000000,0.005688888843378,0.548530168397661
145,SouthAyrshire,145,9318.000000000000000,0.006470833281567,0.199787047456957
146,Southend-on-Sea,146,6566.000000000000000,0.004559722185744,0.511121932061844
147,SouthGloucestershire,147,17647.000000000000000,0.012254861013072,0.268284096046934
148,SouthLanarkshire,148,25343.000000000000000,0.017599305414761,0.210607241750870
149,SouthTyneside,149,8236.000000000000000,0.005719444398689,0.311686498358112
150,St.Helens,150,10275.000000000000000,0.007135416609583,0.297766101085229
151,Staffordshire,151,87794.000000000000000,0.060968055067811,0.181095693217309
152,Stirling,152,8057.000000000000000,0.005595138844128,0.195222383427873
153,Stockport,153,14001.000000000000000,0.009722916588883,0.289748830539055
154,Stockton-on-Tees,154,15724.000000000000000,0.010919444357089,0.230887262925096
155,Stoke-on-Trent,155,12973.000000000000000,0.009009027705706,0.353541139308332
156,Suffolk,156,68335.000000000000000,0.047454860731472,0.223254350075468
157,Sunderland,157,17422.000000000000000,0.012098611014322,0.277999769435439
158,Surrey,158,79204.000000000000000,0.055002777337756,0.280777852950075
159,Swansea,159,15511.000000000000000,0.010771527691606,0.325310458728830
160,Swindon,160,10944.000000000000000,0.007599999939200,0.370897084037411
161,Tameside,161,10187.000000000000000,0.007074305498961,0.316507444651302
162,TelfordandWrekin,162,17544.000000000000000,0.012183333235867,0.177861056863698
163,Thurrock,163,13890.000000000000000,0.009645833256167,0.221585093422272
164,Torbay,164,6200.000000000000000,0.004305555521111,0.443672456493480
165,Torfaen,165,5494.000000000000000,0.003815277747256,0.321449087079530
166,Trafford,166,12723.000000000000000,0.008835416595983,0.274015480480881
167,ValeofGlamorgan,167,10581.000000000000000,0.007347916607883,0.213105678490311
168,Wakefield,168,26610.000000000000000,0.018479166518833,0.189343443827130
169,Walsall,169,13362.000000000000000,0.009279166592433,0.328772351972937
170,Warrington,170,14762.000000000000000,0.010251388806878,0.263911404296279
171,Warwickshire,171,49496.000000000000000,0.034372221947244,0.225933540915445
172,WestBerkshire,172,12598.000000000000000,0.008748611041122,0.191905976039670
173,WestDunbartonshire,173,5685.000000000000000,0.003947916635083,0.254833361312334
174,WestLothian,174,14677.000000000000000,0.010192361029572,0.218568458001594
175,WestSussex,175,52630.000000000000000,0.036548610818722,0.301569552221588
176,Wigan,176,16494.000000000000000,0.011454166575033,0.290553049059884
177,Wiltshire,177,39936.000000000000000,0.027733333111467,0.215676052282588
178,WindsorandMaidenhead,178,10468.000000000000000,0.007269444386289,0.219461818094364
179,Wirral,179,15731.000000000000000,0.010924305468161,0.347417321709905
180,Wokingham,180,11000.000000000000000,0.007638888827778,0.215063900941263
181,Wolverhampton,181,11769.000000000000000,0.008172916601283,0.341460220258307
182,Worcestershire,182,54107.000000000000000,0.037574305254961,0.207417519833997
183,Wrexham,183,11664.000000000000000,0.008099999935200,0.204350540293416
184,York,184,10900.000000000000000,0.007569444383889,0.384720805489090
